Muestra;Nombre;Sitio;Masa de Suelo g;Nitrógeno ppm;"Fósforo disponible
(ppm)";"Carbono Orgánico
(%)";"Gravas
(%)";"Tamiz Nº35
(g)";DAP Tamiz 35;Stock Carbono g/17 cm;"CO3
(g/100g)";"Arcilla
>0,002";"Limo
0.05-0.002";"Arena.
 2-0.005";Clasificación Textural;Alto contenido de materia vegetal
1756;PB-S2-DAP;PB-S2;844;737;19;0,57;12,29;140;0,36;2,49;0,24;4;18;78;Arenoso Franco;
1760;PB-SS1-DAP;PB-SS1;800;680;21;0,53;54,76;154;0,39;2,74;0,51;4;20;77;Arenoso Franco;
1762;B-S1-DAP;B-S1;1.132;918;19;1,87;30,45;419;1,07;7,46;1,48;6,7;9,6;83,6;Arenoso Franco;
1766;PB-SC2-DAP;PB-SC2;984;628;19;1,34;0,64;300;0,76;5,34;0,24;3,6;10,4;86;Arenoso Franco;
1767;BS-S1-DAP;BS-S1;610;2125;59;3,25;31,37;170;0,43;3,03;1,8;4;24;72;Franco Arenoso;
1768;PB-SS3-DAP;PB-SS3;676;1109;18;1,22;4,81;;;;0,48;3,28;18;78,72;Arenoso Franco;1
1771;B-S3-DAP;B-S3;462;4208;38;11,16;32,12;;;;0,3;5,28;14;80,72;Arenoso Franco;1
1772;BS-S3-DAP;BS-S3;454;1775;29;2,27;45,11;79;0,2;1,41;0,14;7,6;37,6;54,7;Franco Arenoso;1
1773;PB-S1-DAP;PB-S1;1.704;362;15;0,23;51,16;338;0,86;6,02;1,19;4;14;82;Arenoso Franco;
1775;PB-SS2-DAP;PB-SS2;734;1153;19;1,68;1,15;216;0,55;3,84;0,43;1,6;22;76,4;Arenoso Franco;
1796;MM-SC3-DAP;MM-SC3;264;7326;83;12,67;>1;104;0,26;1,85;2,45;3,6;29,6;66,7;Franco Arenoso;1
1797;PB-SC3-DAP;PB-SC3;728;1222;18;2,11;>1;234;0,6;4,17;0,55;3,8;30;66,5;Franco Arenoso;
1798;PB-SC1-DAP;PB-SC1;1706;765;22;0,57;37,82;222;0,57;3,95;0,24;3,6;9,6;86,7;Franco Arenoso;
1799;PB-S3-DAP;PB-S3;684;1513;43;2,44;0;222;0,57;3,95;4,71;4;30;76;Franco Arenoso;
1800;MM-SC1-DAP;MM-SC1;750;500;30;0,34;61,76;180;0,46;3,2;0,32;3,6;6,4;90;Arenoso;
1801;MM-SC2-DAP;MM-SC2;326;2176;32;12,1;>|1;68;0,17;1,21;0,73;3,6;17,6;78,7;Arenoso Franco;1
1802;BS-C3-DAP;BS-C3;1.308;919;42;2,14;57,29;338;0,86;6,02;3,41;1,6;1,6;96,7;Arenoso;1
1803;MM-S2-DAP;MM-S2;526;1151;38;2,5;9,24;214;0,54;3,81;0,87;1,28;14;84,72;Arenoso Franco;1
1804;MM-S3-DAP;MM-S3;472;2084;135;5,45;14,8;108;0,28;1,92;30,7;9,6;33,6;56,7;Franco Arenoso;1
1805;MM-SS1-DAP;MM-SS1;104;568;151;17,49;0;36;0,09;0,64;1,7;;;;;1
1806;MM-SS3-DAP;MM-SS3;814;2394;31;5,52;40,36;304;0,77;5,41;0,73;3,28;24;72,72;Franco Arenoso;1
1807;MM-SS2-DAP;MM-SS2;308;2361;25;1,82;41,53;44;0,11;0,78;0,91;3,28;20;76,72;Arenoso Franco;1
1808;MM-S1-DAP;MM-S1;668;567;22;1,1;65,74;142;0,36;2,53;2,23;1,6;1,6;96,7;Arenoso;1
1809;BS-S2-DAP;BS-S2;496;1743;45;4,54;>1;134;0,34;2,39;0,63;1,28;14;84,72;Arenoso Franco;1
1810;B-S2-DAP;B-S2;766;1348;27;2,79;22,49;234;0,6;4,17;0,43;3,28;10;86,72;Arenoso Franco;1
1811;BS-C2-DAP;BS-C2;750;2162;45;3,59;>1;58;0,15;1,03;0,39;11,28;20;68,72;Franco Arenoso;1
1812;BS-C1-DAP;BS-C1;563;341;55;0,91;33,69;572;1,46;10,18;0,43;3,6;13,6;82,7;Arenoso Franco;
