Sitio;orden_de_muestreo;ID;sp_dominante;sp_acompañante;peso_total;peso_sin_bolsa;PS_Verano;PS_Otoño;Latitud;Longitud;msnm;Este;Norte
El Balcon;1;BSS1;Carex sp.;calandrinia compacta;415;381;142,6;122;-28,51566667;-69,49288889;4091;2451751,173;6846277,438
El Balcon;2;BS1;Carex sp.;Deschampsia eminens;446;412;135,8;109;-28,51555556;-69,49269444;4098;2451770,157;6846289,831
El Balcon;3;BSC1;Carex sp.;d velutina;74;40;21,6;72;-28,51552778;-69,49252778;4103;2451786,46;6846292,976
El Balcon;4;BSC2;Deschampsia eminens;;541;507;329,1;132;-28,52255556;-69,49519444;4113;2451528,629;6845513,013
El Balcon;5;BSS2;Deschampsia eminens;oxicloe 2;987;953;480,9;192;-28,52244444;-69,49544444;4118;2451504,107;6845525,226
El Balcon;6;BS2;Deschampsia eminens;gentiana prostata;266;232;155,8;325;-28,52261111;-69,49586111;4119;2451463,398;6845506,586
El Balcon;28;BSS3;Deschampsia eminens;oxicloe ;132;98;59,9;108;-28,52436111;-69,53819444;4220;2447320,452;6845294,776
El Balcon;29;BS3;Deschampsia eminens;;258;224;133,4;105;-28,52408333;-69,53838889;4218;2447301,281;6845325,477
El Balcon;30;BSC3;Deschampsia eminens;calandrinia compacta, carex;552;518;253,4;83;-28,52402778;-69,53902778;4218;2447238,716;6845331,354
Pirca de los Bueyes;7;PBSS1;Deschampsia eminens;hordeum, Festuca argentina;425;391;122,5;164;-28,51611111;-69,37322222;3961;2463465,639;6846270,45
Pirca de los Bueyes;8;PBS1;Deschampsia eminens;hordeum, pucinellia frigida;342;308;110;215;-28,51558333;-69,37280556;3961;2463506,245;6846329,07
Pirca de los Bueyes;9;PBSC1;Deschampsia eminens;carex, d curvula;252;218;129,1;88;-28,51477778;-69,37197222;3966;2463587,544;6846418,602
Pirca de los Bueyes;10;PBSC2;Festuca argentina;;281;247;170,9;195;-28,50702778;-69,47791667;4062;2453213,016;6847240,813
Pirca de los Bueyes;11;PBSS2;Festuca argentina;;297;263;141,9;369;-28,50669444;-69,47761111;4057;2453242,782;6847277,875
Pirca de los Bueyes;12;PBS2;Festuca argentina;;355;321;174,1;182;-28,50680556;-69,47736111;4059;2453267,306;6847265,658
Pirca de los Bueyes;13;PBSS3;Carex sp.;Deschampsia eminens, d curvula;100;66;34,3;75;-28,50783333;-69,49172222;4075;2451861,824;6847146,075
Pirca de los Bueyes;14;PBS3;Carex sp.;d curvula y gentiana prostata;60;26;12,4;74;-28,50791667;-69,49144444;4070;2451889,056;6847136,95
Pirca de los Bueyes;15;PBSC3;Cinnagrostis curvula;carex;123;89;75,6;96;-28,50808333;-69,49127778;4074;2451905,448;6847118,545
Quebrada Chica;16;QCSS1;Oxicloe sp.;d curvula;59;25;12;;-28,48980556;-69,47872222;4139;2453126,543;6849149,231
Quebrada Chica;17;QCSS2;Oxicloe sp.;d velutina;75;41;16,8;;-28,48983333;-69,48063889;4141;2452938,884;6849145,403
Quebrada Chica;18;QCS1;Oxicloe sp.;;159;125;72,5;;-28,48986111;-69,48019444;4138;2452982,414;6849142,499
Quebrada Chica;19;QCSC1;Oxicloe sp.;d curvula;122;88;45,3;;-28,49011111;-69,47844444;4127;2453153,876;6849115,475
Quebrada Chica;20;QCS2;Oxicloe sp.;;176;142;59,7;;-28,48966667;-69,47794444;4122;2453202,638;6849164,928
Quebrada Chica;21;QCSC2;Deschampsia eminens;;482;448;376,7;;-28,48005556;-69,48605556;4208;2452404,124;6850226,935
Quebrada Chica;22;QCS3;Deschampsia eminens;;79;45;199,1;;-28,48005556;-69,48619444;4203;2452390,523;6850226,88
Quebrada Chica;23;QCSS3;Deschampsia eminens;;665;631;284,4;;-28,48002778;-69,48625;4203;2452385,071;6850229,937
Quebrada Chica;24;QCSC3;Oxicloe sp.;d curvula;497;463;22;;-28,48983333;-69,47775;4120;2453221,75;6849146,532
MACHO MUERTO;25;MMSS1;Deschampsia eminens;Festuca argentina;376;342;241,2;314;-28,41091667;-69,28558333;3835;2472016,925;6857952,457
MACHO MUERTO;27;MMS1;Deschampsia eminens;Festuca argentina;255;221;151,7;387;-28,41052778;-69,28511111;3840;2472063,095;6857995,666
MACHO MUERTO;26;MMSC1;Deschampsia eminens;Festuca argentina, carex;170;136;119,5;105;-28,41136111;-69,28586111;3830;2471989,823;6857903,136
MACHO MUERTO;31;MMSS2;Deschampsia eminens;d curvula;476;442;293,1;208;-28,41994444;-69,29577778;3849;2471020,461;6856949,525
MACHO MUERTO;32;MMS2;Deschampsia eminens;Festuca argentina;369;335;282;88;-28,41947222;-69,29602778;3847;2470995,838;6857001,799
MACHO MUERTO;33;MMSC2;Deschampsia eminens;d curvula;506;472;382,4;252;-28,41983333;-69,29627778;3850;2470971,441;6856961,718
MACHO MUERTO;34;MMSS3;Deschampsia eminens;oxicloe;625;591;258,3;446;-28,49194444;-69,34886111;3918;2465842,573;6848955,986
MACHO MUERTO;36;MMS3;Deschampsia eminens;puchinellia;220;186;106,6;166;-28,49958333;-69,35322222;3940;2465418,055;6848108,13
MACHO MUERTO;35;MMSC3;Deschampsia eminens;oxicloe;136;102;74,5;146;-28,49727778;-69,35166667;3935;2465569,604;6848364,099
